Han,Lang,Had_URL,Built_From_Title,Final_URL,OK
Matsumae Han,en,False,True,https://en.wikipedia.org/wiki/Matsumae_Han,True
Aizu Han,en,False,True,https://en.wikipedia.org/wiki/Aizu_Han,True
Izumi Han,en,False,True,https://en.wikipedia.org/wiki/Izumi_Han,True
Ichinoseki Han,en,False,True,https://en.wikipedia.org/wiki/Ichinoseki_Han,True
Iwakitaira Han,en,False,True,https://en.wikipedia.org/wiki/Iwakitaira_Han,True
Kuroishi Han,en,False,True,https://en.wikipedia.org/wiki/Kuroishi_Han,True
Shimotedo Han,en,False,True,https://en.wikipedia.org/wiki/Shimotedo_Han,True
Shirakawa Han,en,False,True,https://en.wikipedia.org/wiki/Shirakawa_Han,True
Sendai Han,en,False,True,https://en.wikipedia.org/wiki/Sendai_Han,True
Nakamura Han,en,False,True,https://en.wikipedia.org/wiki/Nakamura_Han,True
Tanagura Han,en,False,True,https://en.wikipedia.org/wiki/Tanagura_Han,True
Nihonmatsu Han,en,False,True,https://en.wikipedia.org/wiki/Nihonmatsu_Han,True
Hachinohe Han,en,False,True,https://en.wikipedia.org/wiki/Hachinohe_Han,True
Hirosaki Han,en,False,True,https://en.wikipedia.org/wiki/Hirosaki_Han,True
Fukushima Han,en,False,True,https://en.wikipedia.org/wiki/Fukushima_Han,True
Miharu Han,en,False,True,https://en.wikipedia.org/wiki/Miharu_Han,True
Morioka Han,en,False,True,https://en.wikipedia.org/wiki/Morioka_Han,True
Morioka Shinden Han,en,False,True,https://en.wikipedia.org/wiki/Morioka_Shinden_Han,True
Moriyama Han,en,False,True,https://en.wikipedia.org/wiki/Moriyama_Han,True
Yunagaya Han,en,False,True,https://en.wikipedia.org/wiki/Yunagaya_Han,True
Kaminoyama Han,en,False,True,https://en.wikipedia.org/wiki/Kaminoyama_Han,True
Kameda Han,en,False,True,https://en.wikipedia.org/wiki/Kameda_Han,True
Kubota Han,en,False,True,https://en.wikipedia.org/wiki/Kubota_Han,True
Kubota Shinden Han,en,False,True,https://en.wikipedia.org/wiki/Kubota_Shinden_Han,True
Shonai Han,en,False,True,https://en.wikipedia.org/wiki/Shonai_Han,True
Shinjo Han,en,False,True,https://en.wikipedia.org/wiki/Shinjo_Han,True
Tendo Han,en,False,True,https://en.wikipedia.org/wiki/Tendo_Han,True
Nagatoro Han,en,False,True,https://en.wikipedia.org/wiki/Nagatoro_Han,True
Honjo Han,en,False,True,https://en.wikipedia.org/wiki/Honjo_Han,True
Matsuyama Han,en,False,True,https://en.wikipedia.org/wiki/Matsuyama_Han,True
Yamagata Han,en,False,True,https://en.wikipedia.org/wiki/Yamagata_Han,True
Yonezawa Han,en,False,True,https://en.wikipedia.org/wiki/Yonezawa_Han,True
Yonezawa Shinden Han,en,False,True,https://en.wikipedia.org/wiki/Yonezawa_Shinden_Han,True
Katsuyama Han,en,False,True,https://en.wikipedia.org/wiki/Katsuyama_Han,True
Tateyama Han,en,False,True,https://en.wikipedia.org/wiki/Tateyama_Han,True
Iino Han,en,False,True,https://en.wikipedia.org/wiki/Iino_Han,True
Ichinomiya Han,en,False,True,https://en.wikipedia.org/wiki/Ichinomiya_Han,True
Otaki Han,en,False,True,https://en.wikipedia.org/wiki/Otaki_Han,True
Kururi Han,en,False,True,https://en.wikipedia.org/wiki/Kururi_Han,True
Sanuki Han,en,False,True,https://en.wikipedia.org/wiki/Sanuki_Han,True
Jōzai Han,en,False,True,https://en.wikipedia.org/wiki/J%C5%8Dzai_Han,True
